['Mercedes-Benz', 'C-Class', 'C220d', 579950, 2017, 13647]
['Mercedes-Benz', 'C-Class', 'C200', 579950, 2017, 5300]
['Mercedes-Benz', 'C-Class', 'C200', 579950, 2016, 28000]
['Mercedes-Benz', 'C-Class', 'C200', 579950, 2017, 4600]
['Mercedes-Benz', 'C-Class', 'C200', 579950, 2017, 5799]
['Mercedes-Benz', 'C-Class', 'C200', 579950, 2017, 7000]
['Mercedes-Benz', 'C-Class', 'C220d', 579950, 2017, 9500]
['Mercedes-Benz', 'C-Class', 'C200', 579900, 2017, 1500]
['Mercedes-Benz', 'C-Class', 'C180', 579900, 2017, 1448]
['Mercedes-Benz', 'C-Class', 'C200', 579900, 2017, 1500]
['Mercedes-Benz', 'C-Class', 'C200', 579900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 579900, 2017, 100]
['Mercedes-Benz', 'C-Class', 'C220', 579900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 579900, 2017, 15188]
['Mercedes-Benz', 'C-Class', 'C200', 579900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 579900, 2017, 3588]
['Mercedes-Benz', 'C-Class', 'C200', 579900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 579900, 2017, 10000]
['Mercedes-Benz', 'C-Class', 'C220d', 579900, 2017, 11500]
['Mercedes-Benz', 'C-Class', 'C200', 579900, 2017, 11000]
['Mercedes-Benz', 'C-Class', 'C200', 579900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 579900, 2017, 12065]
['Mercedes-Benz', 'C-Class', 'C200', 579900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C180', 579000, 2017, 1500]
['Mercedes-Benz', 'C-Class', 'C200', 579000, 2017, 1960]
['Mercedes-Benz', 'C-Class', 'C200', 579000, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 579000, 2017, 1500]
['Mercedes-Benz', 'C-Class', 'C200', 579000, 2017, 100]
['Mercedes-Benz', 'C-Class', 'C200', 579000, 2017, 4228]
['Mercedes-Benz', 'C-Class', 'C200', 579000, 2017, 9600]
['Mercedes-Benz', 'C-Class', 'C300', 577900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C180', 576000, 2017, 7000]
['Mercedes-Benz', 'C-Class', 'C250d', 575000, 2017, 1500]
['Mercedes-Benz', 'C-Class', 'C220d', 574900, 2017, 10000]
['Mercedes-Benz', 'C-Class', 'C300', 570000, 2017, 11280]
['Mercedes-Benz', 'C-Class', 'C220d', 569990, 2017, 12383]
['Mercedes-Benz', 'C-Class', 'C200', 569950, 2017, 11000]
['Mercedes-Benz', 'C-Class', 'C200', 569950, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 569950, 2017, 112]
['Mercedes-Benz', 'C-Class', 'C300', 569950, 2017, 11000]
['Mercedes-Benz', 'C-Class', 'C220d', 569900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 369995, 2014, 102145]
['Mercedes-Benz', 'C-Class', 'C200', 519900, 2017, 6000]
['Mercedes-Benz', 'C-Class', 'C180', 519900, 2017, 10000]
['Mercedes-Benz', 'C-Class', 'C180', 519900, 2017, 6500]
['Mercedes-Benz', 'C-Class', 'C220d', 519000, 2017, 22000]
['Mercedes-Benz', 'C-Class', 'C220d', 519000, 2017, 6500]
['Mercedes-Benz', 'C-Class', 'C180', 519000, 2017, 12000]
['Mercedes-Benz', 'C-Class', 'C200', 519000, 2017, 12500]
['Mercedes-Benz', 'C-Class', 'C180', 519000, 2017, 12500]
['Mercedes-Benz', 'C-Class', 'C180', 519000, -1, -1]
['Mercedes-Benz', 'C-Class', 'C250', 515000, 2017, 9400]
['Mercedes-Benz', 'C-Class', 'C200', 515000, 2017, 15000]
['Mercedes-Benz', 'C-Class', 'C250d', 515000, 2017, 6500]
['Mercedes-Benz', 'C-Class', 'C250', 515000, 2016, 20000]
['Mercedes-Benz', 'C-Class', 'C200', 509950, 2017, 15000]
['Mercedes-Benz', 'C-Class', 'C220d', 509950, 2017, 9541]
['Mercedes-Benz', 'C-Class', 'C180', 509950, 2016, 31000]
['Mercedes-Benz', 'C-Class', 'C180', 509950, 2017, 19748]
['Mercedes-Benz', 'C-Class', 'C180', 509900, 2017, 13000]
['Mercedes-Benz', 'C-Class', 'C180', 509900, 2017, 7000]
['Mercedes-Benz', 'C-Class', 'C200', 509900, 2017, 10000]
['Mercedes-Benz', 'C-Class', 'C180', 509900, 2016, 12000]
['Mercedes-Benz', 'C-Class', 'C180', 509900, 2017, 2000]
['Mercedes-Benz', 'C-Class', 'C180', 509900, 2017, 7000]
['Mercedes-Benz', 'C-Class', 'C200', 509900, 2017, 186]
['Mercedes-Benz', 'C-Class', 'C200', 509900, 2017, 18500]
['Mercedes-Benz', 'C-Class', 'C180', 509900, 2017, 10500]
['Mercedes-Benz', 'C-Class', 'C200', 509900, 2017, 3500]
['Mercedes-Benz', 'C-Class', 'C200', 509000, 2017, 10000]
['Mercedes-Benz', 'C-Class', 'C200', 505000, 2017, 9500]
['Mercedes-Benz', 'C-Class', 'C200', 505000, 2017, 5000]
['Mercedes-Benz', 'C-Class', 'C180', 504900, 2016, 16000]
['Mercedes-Benz', 'C-Class', 'C180', 504885, -1, -1]
